items,own,hunt,asap
Avietės,0,1,0
Aviečių uogienė,0,1,1
Avižų gėrimas,0,1,0
Bananai,0,1,1
Bulvės,1,1,1
Burokėliai,0,1,1
Druska,1,0,0
Džiovinti krapai,0,1,1
Grietinė,1,1,0
Imbieras,1,0,0
Karis,1,0,0
Kefyras,1,0,0
Kiaušiniai,0,1,0
Kokosų gėrimas,1,1,0
Kopūstai,1,0,0
Laurų lapai,1,0,0
Maltos aitriosios paprikos,1,0,0
Morkos,1,1,0
Paprikos,1,1,0
Pienas UAT,1,0,0
Pomidorų pasta,1,1,0
Rausvieji svogūnai,1,0,0
Ridikėliai,1,1,0
Skumbrė,0,1,0
Sviestas,1,1,0
Sviestinis moliūgas,1,0,0
Svogūnai,1,0,0
Svogūnų laiškai,0,1,1
Trumpavaisiai agurkai,1,0,0
Viščiukų blauzdelės,0,1,0
Viščiukų filė,0,1,0
Šilauogės,0,1,0
Špinatai,1,1,0
